bbox,comparison,attribute,freq_nlp,freq_have_bboxes
abdomen,improved,anatomicalfinding|yes|sub-diaphragmatic air,92,92
abdomen,improved,nlp|yes|abnormal,215,215
abdomen,improved,nlp|yes|normal,12,12
abdomen,improved;;no change,anatomicalfinding|yes|sub-diaphragmatic air,4,4
abdomen,improved;;no change,nlp|yes|abnormal,8,8
abdomen,improved;;worsened,nlp|yes|abnormal,7,7
abdomen,no change,anatomicalfinding|yes|sub-diaphragmatic air,205,205
abdomen,no change,nlp|yes|abnormal,731,730
abdomen,no change,nlp|yes|normal,40,40
abdomen,no change;;worsened,anatomicalfinding|yes|sub-diaphragmatic air,2,2
abdomen,no change;;worsened,nlp|yes|abnormal,11,11
abdomen,worsened,anatomicalfinding|yes|sub-diaphragmatic air,121,120
abdomen,worsened,nlp|yes|abnormal,389,387
abdomen,worsened,nlp|yes|normal,44,44
abdomen,worsened,technicalassessment|yes|artifact,1,1
aortic arch,improved,anatomicalfinding|yes|mediastinal widening,4,4
aortic arch,improved,anatomicalfinding|yes|tortuous aorta,2,2
aortic arch,improved,nlp|yes|abnormal,11,10
aortic arch,improved,nlp|yes|normal,3,3
aortic arch,improved;;no change,anatomicalfinding|yes|mediastinal widening,1,1
aortic arch,improved;;no change,nlp|yes|abnormal,1,1
aortic arch,improved;;worsened,nlp|yes|abnormal,4,4
aortic arch,no change,anatomicalfinding|yes|mediastinal widening,327,318
aortic arch,no change,anatomicalfinding|yes|tortuous aorta,3149,3094
aortic arch,no change,anatomicalfinding|yes|vascular calcification,1838,1803
aortic arch,no change,nlp|yes|abnormal,4879,4795
aortic arch,no change,nlp|yes|normal,282,278
aortic arch,no change,technicalassessment|yes|artifact,2,2
aortic arch,no change;;worsened,anatomicalfinding|yes|mediastinal widening,4,4
aortic arch,no change;;worsened,anatomicalfinding|yes|tortuous aorta,2,2
aortic arch,no change;;worsened,nlp|yes|abnormal,5,5
aortic arch,worsened,anatomicalfinding|yes|mediastinal widening,21,21
aortic arch,worsened,anatomicalfinding|yes|tortuous aorta,21,20
aortic arch,worsened,anatomicalfinding|yes|vascular calcification,8,8
